day,hour,origen_barrio,origen_cap,cantidad,longitude,latitude
1,6,VILLA DEVOTO,1,216,-58.51428246,-34.60235465
1,6,VILLA GRAL. MITRE,1,68,-58.46894292,-34.6100287
1,6,VILLA LUGANO,1,375,-58.47616703,-34.67499311
1,6,VILLA LURO,1,42,-58.50272906,-34.63641326
1,6,VILLA ORTUZAR,1,39,-58.46765121,-34.58097343
1,6,VILLA PUEYRREDON,1,92,-58.50349866,-34.58210304
1,6,VILLA REAL,1,71,-58.52603869,-34.61949319
1,6,VILLA RIACHUELO,1,61,-58.46334995,-34.69185842
1,6,VILLA SANTA RITA,1,97,-58.48295679,-34.61619346
1,6,VILLA SOLDATI,1,95,-58.44660206,-34.66537818
1,6,VILLA URQUIZA,1,140,-58.4878555,-34.57154052
1,7,AGRONOMIA,1,52,-58.48867266,-34.59294472
1,7,ALMAGRO,1,437,-58.42174452,-34.60922726
1,7,ALMIRANTE BROWN,0,1111,-58.36739785,-34.8355701
1,7,AVELLANEDA,0,1341,-58.34130219,-34.67822151
1,7,BALVANERA,1,999,-58.40306169,-34.6090994
1,7,BARRACAS,1,492,-58.38427511,-34.64641752
1,7,BELGRANO,1,588,-58.45029805,-34.55489158
1,7,BERAZATEGUI,0,666,-58.15526069,-34.81793907
1,7,BOCA,1,183,-58.35687956,-34.63111612
1,7,BOEDO,1,174,-58.41883975,-34.6299599
1,7,CABALLITO,1,543,-58.44360306,-34.61682542
1,7,CHACARITA,1,176,-58.45417483,-34.58837214
1,7,COGHLAN,1,41,-58.47494433,-34.56062377
1,7,COLEGIALES,1,92,-58.45096795,-34.57464156
1,7,CONSTITUCION,1,1071,-58.38438814,-34.62504415
1,7,ESCOBAR,0,196,-58.77112814,-34.32871815
1,7,ESTEBAN ECHEVERRIA,0,659,-58.47696902,-34.83120997
1,7,EZEIZA,0,115,-58.56483953,-34.87582135
1,7,FLORENCIO VARELA,0,799,-58.25863776,-34.87787299
1,7,FLORES,1,646,-58.45826804,-34.63680312
1,7,FLORESTA,1,157,-58.48358753,-34.62768578
1,7,GENERAL SAN MARTIN,0,874,-58.56430565,-34.55265233
1,7,HURLINGHAM,0,169,-58.64969436,-34.59921401
1,7,ITUZAINGO,0,166,-58.68875833,-34.63600182
1,7,JOSE C. PAZ,0,619,-58.77767109,-34.51187589
1,7,LA MATANZA,0,4405,-58.62538227,-34.77012002
1,7,LANUS,0,1185,-58.39547449,-34.70576064
1,7,LINIERS,1,788,-58.51912811,-34.64379602
1,7,LOMAS DE ZAMORA,0,1496,-58.42404113,-34.7555056
1,7,MALVINAS ARGENTINAS,0,626,-58.712133,-34.48730383
1,7,MATADEROS,1,443,-58.50173703,-34.65837345
1,7,MERLO,0,375,-58.74187776,-34.71088678
1,7,MONSERRAT,1,341,-58.37964847,-34.61268563
1,7,MONTE CASTRO,1,73,-58.50658095,-34.61929776
1,7,MORENO,0,643,-58.81092327,-34.61061712
1,7,MORON,0,870,-58.61984335,-34.64914107
1,7,NUEVA POMPEYA,1,723,-58.41885257,-34.65054408
1,7,NUNEZ,1,111,-58.46285879,-34.54373767
1,7,PALERMO,1,1686,-58.42243478,-34.57390245
1,7,PARQUE AVELLANEDA,1,285,-58.47645528,-34.64864159
1,7,PARQUE CHACABUCO,1,199,-58.43769584,-34.63593994
1,7,PARQUE CHAS,1,27,-58.47912136,-34.58552269
1,7,PARQUE PATRICIOS,1,215,-58.40167518,-34.63755033
1,7,PATERNAL,1,73,-58.46866484,-34.59742118
1,7,PILAR,0,201,-58.90344139,-34.44819902
1,7,PRESIDENTE PERON,0,47,-58.39809124,-34.9298313
1,7,PUERTO MADERO,1,12,-58.35571275,-34.60905372
1,7,QUILMES,0,1428,-58.27674869,-34.73506242
1,7,RECOLETA,1,549,-58.39521874,-34.58623775
1,7,RETIRO,1,679,-58.37592173,-34.58841231
1,7,SAAVEDRA,1,217,-58.4887446,-34.55307606
1,7,SAN CRISTOBAL,1,199,-58.40188403,-34.6238645
1,7,SAN FERNANDO,0,382,-58.56629736,-34.45545665
1,7,SAN FERNANDO,0,382,-58.55408337,-34.14166569
1,7,SAN ISIDRO,0,999,-58.53753207,-34.48729629
1,7,SAN MIGUEL,0,956,-58.69170552,-34.55209197
1,7,SAN NICOLAS,1,498,-58.38051517,-34.60366599
1,7,SAN TELMO,1,68,-58.37154103,-34.62152049
1,7,TIGRE,0,1159,-58.61687555,-34.38565106
1,7,TRES DE FEBRERO,0,700,-58.57913045,-34.59594723
1,7,VELEZ SARSFIELD,1,95,-58.49327669,-34.63136139
1,7,VERSALLES,1,35,-58.52241724,-34.63012294
1,7,VICENTE LOPEZ,0,789,-58.50461476,-34.52659375
1,7,VILLA CRESPO,1,348,-58.44272186,-34.59883365
1,7,VILLA DEL PARQUE,1,66,-58.49067708,-34.60424664
1,7,VILLA DEVOTO,1,263,-58.51428246,-34.60235465
1,7,VILLA GRAL. MITRE,1,87,-58.46894292,-34.6100287
1,7,VILLA LUGANO,1,546,-58.47616703,-34.67499311
1,7,VILLA LURO,1,66,-58.50272906,-34.63641326
1,7,VILLA ORTUZAR,1,56,-58.46765121,-34.58097343
1,7,VILLA PUEYRREDON,1,76,-58.50349866,-34.58210304
1,7,VILLA REAL,1,114,-58.52603869,-34.61949319
1,7,VILLA RIACHUELO,1,89,-58.46334995,-34.69185842
1,7,VILLA SANTA RITA,1,116,-58.48295679,-34.61619346
1,7,VILLA SOLDATI,1,160,-58.44660206,-34.66537818
1,7,VILLA URQUIZA,1,147,-58.4878555,-34.57154052
1,8,AGRONOMIA,1,57,-58.48867266,-34.59294472
1,8,ALMAGRO,1,417,-58.42174452,-34.60922726
1,8,ALMIRANTE BROWN,0,1433,-58.36739785,-34.8355701
1,8,AVELLANEDA,0,1421,-58.34130219,-34.67822151
1,8,BALVANERA,1,1103,-58.40306169,-34.6090994
1,8,BARRACAS,1,457,-58.38427511,-34.64641752
1,8,BELGRANO,1,550,-58.45029805,-34.55489158
1,8,BERAZATEGUI,0,764,-58.15526069,-34.81793907
1,8,BOCA,1,221,-58.35687956,-34.63111612
1,8,BOEDO,1,184,-58.41883975,-34.6299599
1,8,CABALLITO,1,671,-58.44360306,-34.61682542
1,8,CHACARITA,1,208,-58.45417483,-34.58837214
1,8,COGHLAN,1,54,-58.47494433,-34.56062377
1,8,COLEGIALES,1,82,-58.45096795,-34.57464156
1,8,CONSTITUCION,1,786,-58.38438814,-34.62504415
1,8,ESCOBAR,0,203,-58.77112814,-34.32871815
1,8,ESTEBAN ECHEVERRIA,0,673,-58.47696902,-34.83120997
1,8,EZEIZA,0,155,-58.56483953,-34.87582135
1,8,FLORENCIO VARELA,0,1010,-58.25863776,-34.87787299
1,8,FLORES,1,719,-58.45826804,-34.63680312
1,8,FLORESTA,1,127,-58.48358753,-34.62768578
1,8,GENERAL SAN MARTIN,0,986,-58.56430565,-34.55265233
1,8,HURLINGHAM,0,190,-58.64969436,-34.59921401
1,8,ITUZAINGO,0,207,-58.68875833,-34.63600182
1,8,JOSE C. PAZ,0,784,-58.77767109,-34.51187589
1,8,LA MATANZA,0,5328,-58.62538227,-34.77012002
1,8,LANUS,0,1507,-58.39547449,-34.70576064
1,8,LINIERS,1,757,-58.51912811,-34.64379602
1,8,LOMAS DE ZAMORA,0,1859,-58.42404113,-34.7555056
1,8,MALVINAS ARGENTINAS,0,710,-58.712133,-34.48730383
1,8,MATADEROS,1,541,-58.50173703,-34.65837345
1,8,MERLO,0,472,-58.74187776,-34.71088678
1,8,MONSERRAT,1,224,-58.37964847,-34.61268563
1,8,MONTE CASTRO,1,93,-58.50658095,-34.61929776
1,8,MORENO,0,774,-58.81092327,-34.61061712
1,8,MORON,0,920,-58.61984335,-34.64914107
1,8,NUEVA POMPEYA,1,807,-58.41885257,-34.65054408
1,8,NUNEZ,1,153,-58.46285879,-34.54373767
1,8,PALERMO,1,1307,-58.42243478,-34.57390245
1,8,PARQUE AVELLANEDA,1,326,-58.47645528,-34.64864159
1,8,PARQUE CHACABUCO,1,269,-58.43769584,-34.63593994
1,8,PARQUE CHAS,1,27,-58.47912136,-34.58552269
1,8,PARQUE PATRICIOS,1,244,-58.40167518,-34.63755033
1,8,PATERNAL,1,103,-58.46866484,-34.59742118
1,8,PILAR,0,241,-58.90344139,-34.44819902
1,8,PRESIDENTE PERON,0,52,-58.39809124,-34.9298313
1,8,PUERTO MADERO,1,24,-58.35571275,-34.60905372
1,8,QUILMES,0,1660,-58.27674869,-34.73506242
1,8,RECOLETA,1,509,-58.39521874,-34.58623775
1,8,RETIRO,1,631,-58.37592173,-34.58841231
1,8,SAAVEDRA,1,249,-58.4887446,-34.55307606
1,8,SAN CRISTOBAL,1,191,-58.40188403,-34.6238645
1,8,SAN FERNANDO,0,551,-58.56629736,-34.45545665
1,8,SAN FERNANDO,0,551,-58.55408337,-34.14166569
1,8,SAN ISIDRO,0,1082,-58.53753207,-34.48729629
1,8,SAN MIGUEL,0,1194,-58.69170552,-34.55209197
1,8,SAN NICOLAS,1,327,-58.38051517,-34.60366599
1,8,SAN TELMO,1,101,-58.37154103,-34.62152049
1,8,TIGRE,0,1201,-58.61687555,-34.38565106
1,8,TRES DE FEBRERO,0,844,-58.57913045,-34.59594723
1,8,VELEZ SARSFIELD,1,109,-58.49327669,-34.63136139
1,8,VERSALLES,1,39,-58.52241724,-34.63012294
1,8,VICENTE LOPEZ,0,873,-58.50461476,-34.52659375
